channel,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec,note
P,41,33,8,0.469711007493915,0.6159334911240472,0.7496085166931152,0.6932675573560927,0.859028180440267,0.4539332836866379,0.6318039298057556,0.7722040712833405,0.6833695769309998,0.8952935039997101,
H3K9ac,41,33,8,0.48121346126903186,0.6333782341745164,0.7716427379184299,0.7174474199612936,0.8424466848373413,0.5020859986543655,0.5764399170875549,0.724753350019455,0.715486615896225,0.7479792833328247,
Ca,41,33,8,0.538923650076895,0.5540693567858802,0.7033040258619521,0.6262995931837294,0.8216344581709968,0.5466442108154297,0.549809604883194,0.6990111768245697,0.6134654581546783,0.8193885982036591,
CD56,41,33,8,0.5509248899691033,0.5644659565554725,0.7119183672799004,0.5712137387858497,0.9809482428762648,0.566812664270401,0.5473233759403229,0.6967901885509491,0.5538534820079803,0.980262279510498,
Na,41,33,8,0.5184437488064622,0.548443873723348,0.6994741691483392,0.6324852175182767,0.7925791011916267,0.5222671031951904,0.5465016961097717,0.6990586221218109,0.611305445432663,0.8305012285709381,
CD4,41,33,8,0.5525886010039937,0.5729333360989889,0.7189222706688775,0.5907416774166955,0.9519620736440023,0.5664650201797485,0.5376960039138794,0.6887228190898895,0.5527118146419525,0.9517801702022552,
B7H3,41,33,8,0.5529333027926359,0.5648068222734663,0.7129597796334161,0.584733913342158,0.9460316101710001,0.5651810169219971,0.5355613529682159,0.6877934038639069,0.5543221831321716,0.9456408619880676,
CD63,41,33,8,0.5595911199396307,0.5786774456501007,0.7226060363981459,0.6015333400832282,0.9414807028240628,0.5793554782867432,0.5352904796600342,0.6869499385356903,0.5528684854507446,0.9462212026119232,
SMA,41,33,8,0.550797574447863,0.5547660092512766,0.7045829097429911,0.5757882297039032,0.9398448864618937,0.5718311965465546,0.5325919985771179,0.6845147609710693,0.552843302488327,0.9372488260269165,
EGFR,41,33,8,0.5572706749944976,0.5595209201176962,0.7088630596796671,0.5873105790879991,0.9267314275105795,0.5673551857471466,0.5323638916015625,0.6842205226421356,0.5545517206192017,0.9286761581897736,
C,41,33,8,0.5540016654765967,0.5477097829182943,0.6989470521608988,0.5728506843249003,0.9300256040361192,0.5665566921234131,0.5288462936878204,0.682059109210968,0.5536170303821564,0.9263343811035156,
Lag3,41,33,8,0.5575273217576923,0.5505313409699334,0.7015092902713351,0.5851590898301866,0.9046901398234897,0.5673988461494446,0.5282113552093506,0.680690586566925,0.5528075993061066,0.917341411113739,
CD163,41,33,8,0.5608836520801891,0.5450898541344537,0.6968612538443671,0.5732559925980039,0.9214071167839898,0.5721197724342346,0.524737685918808,0.6787170171737671,0.5529144704341888,0.9162423312664032,
