k,channels,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec
2,dsDNA|CD4,41,33,8,0.45394895654736145,0.6497820085949368,0.7797847323947482,0.8275648090574477,0.7540097236633301,0.44768020510673523,0.6471721827983856,0.7773555517196655,0.8186300098896027,0.7543938457965851
5,dsDNA|CD4|Beta_catenin|HLA-DR|H3K9ac,41,33,8,0.4131911369887265,0.6597071223788791,0.7895388669437833,0.773916847176022,0.816943883895874,0.4297579675912857,0.6262776553630829,0.7623757421970367,0.7759678363800049,0.7666935622692108
1,dsDNA,41,33,8,0.4473695827252937,0.6122908790906271,0.7560671700371636,0.7793423864576552,0.7418746882014804,0.4551780968904495,0.610982358455658,0.753421425819397,0.7709851861000061,0.7489272058010101
3,dsDNA|CD4|Beta_catenin,41,33,8,0.43903812766075134,0.6226091318660312,0.7634632256295946,0.7813500165939331,0.7572334408760071,0.4464307725429535,0.613720178604126,0.749902755022049,0.7666238248348236,0.7699678242206573
4,dsDNA|CD4|Beta_catenin|HLA-DR,41,33,8,0.49225016525297455,0.5752727389335632,0.7195340527428521,0.7217609087626139,0.7330628567271762,0.49480192363262177,0.5827861726284027,0.7191764116287231,0.7017710506916046,0.7679738402366638
6,dsDNA|CD4|Beta_catenin|HLA-DR|H3K9ac|Pan-Keratin,41,33,8,0.4554848409060276,0.5884801083140903,0.7336654133266873,0.8164330654674106,0.6803464657730527,0.46671970188617706,0.5673003196716309,0.7126297354698181,0.8043892085552216,0.6540211737155914
7,dsDNA|CD4|Beta_catenin|HLA-DR|H3K9ac|Pan-Keratin|H3K27me3,41,33,8,0.4981741363351995,0.5479699373245239,0.6899630725383759,0.8078344861666361,0.6392249200079176,0.5001567751169205,0.5579766929149628,0.6990668475627899,0.8153330683708191,0.645761102437973
