channel,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec,note
PD-L1,41,33,8,0.5622534318403765,0.5857945614390903,0.7288464705149332,0.5864542424678802,0.9978271590338813,0.5713451504707336,0.5531591475009918,0.7013294398784637,0.5537806451320648,0.9984710216522217,
CD163,41,33,8,0.5590417276729237,0.5607249140739441,0.7068922188546922,0.5614051553938124,0.9980087942547269,0.569024920463562,0.5531272292137146,0.7012665569782257,0.5537610948085785,0.9980488717556,
B7H3,41,33,8,0.5605604702776129,0.5509161237213347,0.6952213711208768,0.5512708773215612,0.9990261991818746,0.5706138908863068,0.5527547299861908,0.700988382101059,0.5536149740219116,0.9976614117622375,
Background,41,33,8,0.5431956639795592,0.5905055933528476,0.7321257525020175,0.5930773682064481,0.9933133125305176,0.5582529008388519,0.5519348978996277,0.7003894746303558,0.5541965663433075,0.9932777583599091,
CD63,41,33,8,0.5442078438672152,0.5501519905196296,0.6945850915378995,0.5514712880055109,0.9952373835775588,0.5604594051837921,0.5519074201583862,0.7002478241920471,0.5537181496620178,0.9942804276943207,
CD11b,41,33,8,0.5708261854720839,0.5694643391503228,0.7157527009646097,0.5713207622369131,0.9948213497797648,0.578348696231842,0.551903486251831,0.7003426253795624,0.553845226764679,0.9942933320999146,
Ca,41,33,8,0.5331292730389219,0.5651077992386289,0.7124668624666002,0.5748073491785262,0.972738418314192,0.5446569621562958,0.5517576932907104,0.6999537944793701,0.5575266778469086,0.9799395799636841,
CD20,41,33,8,0.5525482333067692,0.5905581911404928,0.7321110367774963,0.5933202571339078,0.9933229949739244,0.5667392313480377,0.5514414310455322,0.7000381648540497,0.5537219047546387,0.993862122297287,
p53,41,33,8,0.553634094469475,0.5739293363359239,0.7202894422743056,0.5840200781822205,0.9788016875584921,0.5640824139118195,0.551179975271225,0.6997601389884949,0.5538738369941711,0.991830438375473,
Lag3,41,33,8,0.5632339697895627,0.592177172501882,0.733128998014662,0.5961590442392561,0.9900172816382514,0.5722023248672485,0.5499346852302551,0.6988597512245178,0.5538715720176697,0.9886552095413208,
HLA-DR,41,33,8,0.5452877391468395,0.5772405730353461,0.7224977413813273,0.5812971492608389,0.9889173375235664,0.5632866024971008,0.549661785364151,0.6986480951309204,0.5537750422954559,0.9880558550357819,
CD68,41,33,8,0.5499069573301257,0.5917607082260979,0.7328205638461642,0.5956885119279226,0.9897747106022305,0.5636082589626312,0.5493844449520111,0.6983914971351624,0.5539275407791138,0.9865193665027618,
CD16,41,33,8,0.5490332155516653,0.5527229772673713,0.6983970602353414,0.5555671950181326,0.9926848941379123,0.5631227791309357,0.549159824848175,0.698223739862442,0.5547517538070679,0.9846214950084686,
CD3,41,33,8,0.5556231068842339,0.5850670801268684,0.7283004456096225,0.5904342201020982,0.9860120415687561,0.5651734471321106,0.5484590828418732,0.6977298557758331,0.5538294911384583,0.9844260215759277,
IDO,41,33,8,0.553298993544145,0.5734932687547472,0.7195812596215142,0.5768331223063998,0.9923694332440695,0.5666740536689758,0.5473867952823639,0.6969262957572937,0.5533676147460938,0.9846406877040863,
Fe,41,33,8,0.5700500517180471,0.5743938717577193,0.7196940382321676,0.5822472439871894,0.9711766772800021,0.5782042741775513,0.5449686646461487,0.6949611008167267,0.5547132790088654,0.9735567569732666,
