channel,n_total,n_train,n_val,train_loss,train_iou,train_dice,train_prec,train_rec,val_loss,val_iou,val_dice,val_prec,val_rec,note
CD56,41,33,8,0.5500432686372236,0.5861708786752489,0.729176746474372,0.5867733889155917,0.9983129567570157,0.5627002716064453,0.5531542003154755,0.7013003826141357,0.5537973344326019,0.9980756044387817,
CD11b,41,33,8,0.5490103896820184,0.5893583231502109,0.7313970790969001,0.590162475903829,0.9978682067659166,0.5619456768035889,0.5530836582183838,0.7012434005737305,0.5538100600242615,0.997830867767334,
HLA-DR,41,33,8,0.5485145865064679,0.5505616847011778,0.6949499083889855,0.5511379970444573,0.9983817537625631,0.5621074140071869,0.5529245138168335,0.7011526823043823,0.5536943674087524,0.9981641173362732,
CD8,41,33,8,0.5509419748277375,0.5911072823736403,0.7325518793529935,0.592466844452752,0.99676337507036,0.5636027157306671,0.5527125000953674,0.7009879350662231,0.5537010431289673,0.9973832368850708,
Si,41,33,8,0.5361175464861321,0.5925629337628683,0.73411891857783,0.599728160434299,0.9802883532312181,0.5608782172203064,0.552706778049469,0.7010176777839661,0.5549352169036865,0.9915943145751953,
Vimentin,41,33,8,0.5490142793366404,0.5889085729916891,0.7310720284779867,0.590457452668084,0.9958054025967916,0.5569113492965698,0.5524653792381287,0.700772762298584,0.5539253056049347,0.9953718483448029,
EGFR,41,33,8,0.5562652512030168,0.5849593844678667,0.728274385134379,0.5862808161311679,0.9963334401448568,0.5671193599700928,0.5523744225502014,0.7006691098213196,0.5538836717605591,0.9949414134025574,
Keratin6,41,33,8,0.5487000526803912,0.5937917795446184,0.7342156436708238,0.5956744485431247,0.9948129256566366,0.5619676411151886,0.5522472560405731,0.7005895674228668,0.553882360458374,0.995043158531189,
SMA,41,33,8,0.5450780102700898,0.5791398021909926,0.7239169081052145,0.5810978048377566,0.9947285585933261,0.5593134760856628,0.551131397485733,0.699524462223053,0.5540046393871307,0.9895214736461639,
CD45RO,41,33,8,0.5572453087026422,0.5813445780012343,0.7255923019515144,0.5841366052627563,0.9922278523445129,0.5671307146549225,0.5508705675601959,0.6995726823806763,0.553833395242691,0.9915181398391724,
CSF-1R,41,33,8,0.5531222278421576,0.5586941275331709,0.7054049770037333,0.561751965019438,0.9916641712188721,0.5652422308921814,0.5504791140556335,0.699216365814209,0.5536068975925446,0.9906012415885925,
MPO,41,33,8,0.5689893960952759,0.5734007060527802,0.7193371719784207,0.576998856332567,0.990016327963935,0.5775404274463654,0.5498719811439514,0.698470950126648,0.5530949532985687,0.988626629114151,
CD16,41,33,8,0.5492441166530956,0.5929978589216868,0.7337197528945075,0.5964178840319315,0.9921223587459989,0.5639116764068604,0.5494194626808167,0.6983861923217773,0.5545919239521027,0.9854535758495331,
CD209,41,33,8,0.5520693054704955,0.5872528221872118,0.7296074761284722,0.5928630431493124,0.9846220148934258,0.5643070936203003,0.5490094721317291,0.6981363892555237,0.5538260340690613,0.9858099222183228,
p53,41,33,8,0.555348844239206,0.5748733613226149,0.7209640145301819,0.5861227744155459,0.9743466311030917,0.5696232914924622,0.5489904582500458,0.6980869174003601,0.5540244877338409,0.9849009811878204,
CD45,41,33,8,0.5503754444194563,0.5888411170906491,0.7306693726115756,0.5949659976694319,0.9852227767308553,0.5639955103397369,0.5485349893569946,0.6978743076324463,0.5533947944641113,0.9875426590442657,
IDO,41,33,8,0.561198996775078,0.5884220202763876,0.7306821412510343,0.5932339297400581,0.9894241558180915,0.5709039866924286,0.5476705729961395,0.6971753239631653,0.5536378026008606,0.9845620691776276,
CD68,41,33,8,0.5669270049441945,0.5852321485678355,0.7283643285433451,0.590674489736557,0.9859203961160448,0.5756217241287231,0.5472758710384369,0.6966427862644196,0.5538600385189056,0.9801649451255798,
CD63,41,33,8,0.5541042233958389,0.5693336692121294,0.7160928646723429,0.5860323276784685,0.9516553547647264,0.5678282380104065,0.5362235307693481,0.6878427863121033,0.553543895483017,0.9483450651168823,
HLA_Class_1,41,33,8,0.5492547967217185,0.5211825751596026,0.6727857225471072,0.5618080761697557,0.8847547372182211,0.5620524287223816,0.5276211798191071,0.6819749474525452,0.5621032416820526,0.9031026065349579,
Fe,41,33,8,0.5776249025807236,0.5553224484125773,0.7040554218822055,0.5813179214795431,0.9195152653588189,0.5847795605659485,0.5272000432014465,0.6811027526855469,0.5557011365890503,0.9244851469993591,
CD138,41,33,8,0.570809958559094,0.5699513819482591,0.7159341242578294,0.5931780536969503,0.9301110572285123,0.5777879953384399,0.5270407199859619,0.6827916204929352,0.572803795337677,0.8901801109313965,
Beta_catenin,41,33,8,0.5599030509139552,0.5184608134958479,0.6745120882987976,0.5724126729700301,0.8530016409026252,0.5691633820533752,0.5085063278675079,0.6653489768505096,0.5558865666389465,0.8634078502655029,
